Time,Discharge(m^3 s^-1),Max,Min,Precip (mm d^-1)
2002-01-01,24.805,24.89,24.73,0.0
2002-01-02,24.65,24.73,24.58,0.0
2002-01-03,24.485,24.57,24.41,0.05
2002-01-04,24.32,24.4,24.24,0.02
2002-01-05,24.155,24.24,24.09,0.51
2002-01-06,24.009999999999998,24.09,23.95,0.14
2002-01-07,23.880000000000003,23.95,23.82,0.02
2002-01-08,23.755000000000003,23.82,23.7,0.0
2002-01-09,23.630000000000003,23.69,23.58,0.62
2002-01-10,23.515,23.57,23.46,0.0
2002-01-11,23.395000000000003,23.46,23.34,1.07
2002-01-12,23.27,23.33,23.21,0.0
2002-01-13,23.130000000000003,23.2,23.07,0.0
2002-01-14,23.0,23.06,22.94,0.0
2002-01-15,22.89,22.94,22.87,0.0
2002-01-16,22.945,23.03,22.87,0.0
2002-01-17,23.135,23.18,23.04,0.0
2002-01-18,23.09,23.18,22.95,0.0
2002-01-19,22.775,22.95,22.64,0.0
2002-01-20,22.5,22.63,22.4,0.0
2002-01-21,22.295,22.39,22.21,0.0
2002-01-22,22.125,22.21,22.05,0.0
2002-01-23,21.98,22.05,21.92,0.0
2002-01-24,21.86,21.92,21.8,0.0
2002-01-25,21.735,21.8,21.68,0.0
2002-01-26,21.615000000000002,21.68,21.56,0.0
2002-01-27,21.505000000000003,21.56,21.45,0.0
2002-01-28,21.395000000000003,21.45,21.34,0.0
2002-01-29,21.285,21.34,21.23,0.07
2002-01-30,21.165,21.23,21.12,0.06
2002-01-31,21.07,21.12,21.04,1.79
2002-02-01,21.020000000000003,21.04,20.99,0.06
2002-02-02,20.935000000000002,20.99,20.88,0.0
2002-02-03,20.825000000000003,20.88,20.79,0.0
2002-02-04,20.759999999999998,20.79,20.74,0.0
2002-02-05,20.725,20.74,20.72,0.0
2002-02-06,20.715,20.72,20.69,0.06
2002-02-07,20.630000000000003,20.69,20.57,0.0
2002-02-08,20.485,20.57,20.41,0.0
2002-02-09,20.335,20.41,20.28,0.03
2002-02-10,20.23,20.28,20.19,0.0
2002-02-11,20.130000000000003,20.18,20.08,0.0
2002-02-12,20.005,20.07,19.94,0.0
2002-02-13,19.869999999999997,19.94,19.82,0.0
2002-02-14,19.755000000000003,19.81,19.71,0.0
2002-02-15,19.66,19.71,19.62,0.0
2002-02-16,19.564999999999998,19.61,19.52,0.0
2002-02-17,19.47,19.52,19.43,0.0
2002-02-18,19.39,19.43,19.35,0.0
2002-02-19,19.31,19.35,19.26,0.0
2002-02-20,19.215,19.26,19.17,0.0
2002-02-21,19.12,19.17,19.08,0.0
2002-02-22,19.03,19.08,18.99,0.0
2002-02-23,18.95,18.99,18.91,0.0
2002-02-24,18.865000000000002,18.91,18.83,0.0
2002-02-25,18.78,18.83,18.74,0.0
2002-02-26,18.7,18.74,18.66,0.01
2002-02-27,18.62,18.66,18.58,0.0
2002-02-28,18.54,18.58,18.51,0.64
2002-03-01,18.475,18.5,18.45,0.03
2002-03-02,18.43,18.45,18.41,0.46
2002-03-03,18.39,18.41,18.38,0.1
2002-03-04,18.36,18.37,18.33,0.16
2002-03-05,18.259999999999998,18.33,18.2,0.0
2002-03-06,18.16,18.2,18.14,0.0
2002-03-07,18.095,18.14,18.05,0.16
2002-03-08,17.990000000000002,18.05,17.95,0.44000000000000006
2002-03-09,17.91,17.95,17.88,0.35
2002-03-10,17.845,17.88,17.82,0.4
2002-03-11,17.81,17.82,17.81,0.0
2002-03-12,17.825,17.83,17.8,1.25
2002-03-13,17.744999999999997,17.8,17.71,0.43000000000000005
2002-03-14,17.689999999999998,17.71,17.66,0.0
2002-03-15,17.630000000000003,17.66,17.62,0.18
2002-03-16,17.85,17.99,17.64,0.0
2002-03-17,17.865000000000002,17.99,17.73,1.58
2002-03-18,17.69,17.72,17.69,1.22
2002-03-19,17.67,17.7,17.62,0.0
2002-03-20,17.54,17.61,17.49,0.0
2002-03-21,17.42,17.48,17.36,0.0
2002-03-22,17.36,17.38,17.35,0.15000000000000002
2002-03-23,17.380000000000003,17.39,17.35,0.01
2002-03-24,17.275,17.35,17.21,0.43
2002-03-25,17.135,17.21,17.08,0.06
2002-03-26,17.015,17.08,16.95,2.0100000000000002
2002-03-27,16.89,16.95,16.87,4.63
2002-03-28,16.939999999999998,17.06,16.87,0.51
2002-03-29,17.380000000000003,17.72,17.07,0.68
2002-03-30,17.89,17.91,17.73,0.0
2002-03-31,17.765,17.87,17.66,0.0
2002-04-01,17.505,17.65,17.41,0.17
2002-04-02,17.36,17.41,17.35,23.16
2002-04-03,17.605,17.8,17.38,0.19
2002-04-04,17.845,17.88,17.72,7.36
2002-04-05,19.04,20.67,17.72,10.950000000000001
2002-04-06,22.825,24.96,20.72,7.55
2002-04-07,26.235,28.58,24.99,1.18
2002-04-08,28.64,29.35,27.96,20.59
2002-04-09,29.435000000000002,30.97,27.99,0.16
2002-04-10,31.64,31.83,31.04,1.52
2002-04-11,30.549999999999997,31.83,28.14,0.11
2002-04-12,26.240000000000002,28.03,25.81,1.05
2002-04-13,26.125,26.18,25.88,36.25
2002-04-14,25.675,26.07,25.33,0.59
2002-04-15,25.22,25.31,25.19,24.29
2002-04-16,26.0,26.45,25.23,5.07
2002-04-17,27.165,28.08,26.46,0.03
2002-04-18,29.255000000000003,30.25,28.11,0.12
2002-04-19,29.55,30.28,28.91,0.26
2002-04-20,30.04,31.7,28.93,19.759999999999998
2002-04-21,36.155,40.21,31.85,10.53
2002-04-22,49.995000000000005,56.99,40.7,12.88
2002-04-23,67.795,75.62,57.31,0.41000000000000003
2002-04-24,80.38,81.97,75.92,0.35000000000000003
2002-04-25,70.805,77.27,66.74,1.65
2002-04-26,62.195,66.57,58.71,0.08
2002-04-27,57.405,58.58,57.25,0.02
2002-04-28,63.11,71.06,58.03,10.74
2002-04-29,81.88,90.96,71.5,74.49
2002-04-30,99.41499999999999,105.01,91.35,0.73
2002-05-01,109.55,111.99,105.21,2.18
2002-05-02,107.195,111.96,102.14,48.83
2002-05-03,105.73500000000001,108.67,102.2,5.13
2002-05-04,125.1,145.94,106.6,23.43
2002-05-05,166.135,185.98,146.86,1.55
2002-05-06,214.565,234.35,187.05,2.42
2002-05-07,255.26,261.1,235.26,0.0
2002-05-08,241.625,257.97,230.38,23.55
2002-05-09,230.135,232.09,222.28,12.16
2002-05-10,205.36,221.57,195.88,0.0
2002-05-11,192.21,195.62,191.43,8.06
2002-05-12,205.8,225.91,193.49,0.34
2002-05-13,261.20500000000004,285.21,227.2,2.5
2002-05-14,278.745,288.13,256.28,0.8
2002-05-15,224.755,254.97,203.74,0.07
2002-05-16,190.21,203.05,180.94,1.1300000000000001
2002-05-17,172.49,180.57,166.09,0.36
2002-05-18,157.535,165.79,149.09,0.0
2002-05-19,137.5,148.66,127.75,1.15
2002-05-20,117.88,127.33,110.48,0.17
2002-05-21,102.6,110.17,96.27,0.03
2002-05-22,90.11000000000001,96.0,86.1,12.52
2002-05-23,84.27000000000001,85.99,82.95,13.19
2002-05-24,81.33500000000001,82.9,79.87,3.71
2002-05-25,77.505,79.79,74.82,0.1
2002-05-26,69.595,74.65,65.26,3.24
2002-05-27,61.015,65.09,57.69,0.65
2002-05-28,54.730000000000004,57.57,52.25,1.72
2002-05-29,49.17,52.13,46.26,1.04
2002-05-30,43.235,46.12,41.64,0.04
2002-05-31,41.68,42.65,41.39,0.32
2002-06-01,45.269999999999996,48.07,42.73,0.9
2002-06-02,51.394999999999996,53.54,48.21,1.25
2002-06-03,53.730000000000004,54.09,52.44,12.02
2002-06-04,49.415,52.33,46.87,4.54
2002-06-05,44.39,46.76,42.5,0.9
2002-06-06,41.129999999999995,42.42,40.79,47.21
2002-06-07,42.41,44.05,40.94,29.28
2002-06-08,45.32,45.97,44.12,0.0
2002-06-09,46.125,46.27,45.99,2.25
2002-06-10,47.16,48.15,46.27,76.42
2002-06-11,49.599999999999994,53.14,48.17,0.48
2002-06-12,63.040000000000006,77.1,53.36,0.0
2002-06-13,113.09,140.07,78.03,0.47000000000000003
2002-06-14,154.26,168.08,140.69,3.62
2002-06-15,182.97,197.8,168.71,2.31
2002-06-16,222.18,238.67,198.7,6.74
2002-06-17,247.04000000000002,254.58,239.16,0.29
2002-06-18,275.09000000000003,296.29,255.13,34.57
2002-06-19,322.97,343.35,297.32,14.76
2002-06-20,370.26,389.95,344.26,10.59
2002-06-21,394.435,395.36,390.51,5.7
2002-06-22,386.40999999999997,391.75,384.43,0.0
2002-06-23,383.46000000000004,386.79,373.57,0.0
2002-06-24,351.405,372.86,330.59,15.33
2002-06-25,303.99,329.58,284.27,2.49
2002-06-26,268.86,283.56,255.81,11.04
2002-06-27,236.43,255.13,220.76,4.75
2002-06-28,206.005,220.14,194.05,0.0
2002-06-29,176.84,193.42,163.67,8.18
2002-06-30,151.45499999999998,163.15,142.71,0.06
2002-07-01,136.325,142.38,132.74,0.0
2002-07-02,129.355,132.61,126.52,16.23
2002-07-03,126.965,130.86,125.8,58.86
2002-07-04,140.745,150.16,131.16,3.57
2002-07-05,156.055,158.75,150.55,0.37
2002-07-06,164.41000000000003,165.92,158.96,5.87
2002-07-07,173.60500000000002,184.31,165.58,21.47
2002-07-08,211.74,230.86,185.03,0.55
2002-07-09,236.09,238.65,231.26,38.74
2002-07-10,238.915,239.76,235.76,0.61
2002-07-11,234.89,241.28,233.09,6.16
2002-07-12,246.85500000000002,247.51,241.72,4.21
2002-07-13,249.52,251.61,247.25,0.0
2002-07-14,255.965,265.13,251.68,0.28
2002-07-15,288.04,318.06,265.74,0.03
2002-07-16,361.615,392.09,319.78,26.46
2002-07-17,402.475,404.55,393.05,5.81
2002-07-18,375.12,396.54,354.05,1.82
